# Sinographic Integration Lexicon - 1500 Core Words
# Format: English,Hanzi,Pinyin,POS,Category,Priority,Logic
# 注：功能词(代词、冠词、助动词等)保留英文原词，用"(保留)"标记

# 1-100: 最高频功能词和核心概念
talk,谈,tán,v,Actions/Changes,1,T1
listen,听,tīng,v,Actions/Changes,1,T1
hear,闻,wén,v,Actions/Changes,2,T3
read,读,dú,v,Actions/Changes,1,T1
write,写,xiě,v,Actions/Changes,1,T1
draw,画,huà,v,Actions/Changes,2,T1
count,数,shǔ,v,Actions/Changes,2,T1
calculate,算,suàn,v,Actions/Changes,2,T1
measure,量,liáng,v,Actions/Changes,2,T1
weigh,称,chēng,v,Actions/Changes,3,T2
cut,切,qiē,v,Actions/Changes,2,T1
cook,煮,zhǔ,v,Actions/Changes,2,T1
wash,洗,xǐ,v,Actions/Changes,2,T1
clean,洁,jié,v,Actions/Changes,2,T2
dirty,污,wū,v,Actions/Changes,3,T2
dry,干,gān,v,Actions/Changes,2,T1
wet,湿,shī,v,Actions/Changes,3,T1
heat,热,rè,v,Actions/Changes,2,T3
cool,凉,liáng,v,Actions/Changes,3,T2
freeze,冻,dòng,v,Actions/Changes,3,T1
melt,融,róng,v,Actions/Changes,3,T1
burn,烧,shāo,v,Actions/Changes,2,T1
shine,照,zhào,v,Actions/Changes,2,T1
flow,流,liú,v,Actions/Changes,2,T1
float,浮,fú,v,Actions/Changes,3,T1
sink,沉,chén,v,Actions/Changes,3,T1
fly,飞,fēi,v,Actions/Changes,2,T1
fall,落,luò,v,Actions/Changes,1,T1
rise,升,shēng,v,Actions/Changes,2,T1
jump,跳,tiào,v,Actions/Changes,2,T1
swim,游,yóu,v,Actions/Changes,2,T2
climb,爬,pá,v,Actions/Changes,2,T1
crawl,爬,pá,v,Actions/Changes,3,T3
slide,滑,huá,v,Actions/Changes,3,T1
roll,滚,gǔn,v,Actions/Changes,3,T1
turn,转,zhuǎn,v,Actions/Changes,2,T1
spin,旋,xuán,v,Actions/Changes,3,T1
shake,摇,yáo,v,Actions/Changes,3,T1
vibrate,振,zhèn,v,Actions/Changes,4,T1
sound,声,shēng,v,Actions/Changes,3,T3
ring,铃,líng,v,Actions/Changes,3,T3
sing,歌,gē,v,Actions/Changes,2,T3
dance,舞,wǔ,v,Actions/Changes,2,T3
play,奏,zòu,v,Actions/Changes,3,T3
act,演,yǎn,v,Actions/Changes,2,T2
direct,导,dǎo,v,Actions/Changes,3,T2
produce,产,chǎn,v,Actions/Changes,3,T2
direct,指,zhǐ,v,Actions/Changes,3,T3

# 201-300: 形容词和抽象词
big,大,dà,adj,Qualities/Degree,1,T1
small,小,xiǎo,adj,Qualities/Degree,1,T1
long,长,cháng,adj,Qualities/Degree,1,T1
short,短,duǎn,adj,Qualities/Degree,1,T1
tall,高,gāo,adj,Qualities/Degree,1,T1
short,矮,ǎi,adj,Qualities/Degree,2,T1
wide,宽,kuān,adj,Qualities/Degree,2,T1
narrow,窄,zhǎi,adj,Qualities/Degree,2,T1
thick,厚,hòu,adj,Qualities/Degree,2,T1
thin,薄,báo,adj,Qualities/Degree,2,T1
heavy,重,zhòng,adj,Qualities/Degree,2,T1
light,轻,qīng,adj,Qualities/Degree,2,T1
hard,硬,yìng,adj,Qualities/Degree,2,T1
soft,软,ruǎn,adj,Qualities/Degree,2,T1
strong,强,qiáng,adj,Qualities/Degree,2,T1
weak,弱,ruò,adj,Qualities/Degree,2,T1
fast,快,kuài,adj,Qualities/Degree,2,T1
slow,慢,màn,adj,Qualities/Degree,2,T1
hot,热,rè,adj,Qualities/Degree,1,T1
cold,冷,lěng,adj,Qualities/Degree,1,T1
warm,温,wēn,adj,Qualities/Degree,2,T1
cool,凉,liáng,adj,Qualities/Degree,2,T1
dry,干,gān,adj,Qualities/Degree,2,T1
wet,湿,shī,adj,Qualities/Degree,2,T1
clean,洁,jié,adj,Qualities/Degree,2,T2
dirty,脏,zāng,adj,Qualities/Degree,2,T1
new,新,xīn,adj,Qualities/Degree,1,T1
old,旧,jiù,adj,Qualities/Degree,1,T1
young,幼,yòu,adj,Qualities/Degree,2,T1
old,老,lǎo,adj,Qualities/Degree,2,T3
good,好,hǎo,adj,Qualities/Degree,1,T1
bad,坏,huài,adj,Qualities/Degree,1,T1
excellent,优,yōu,adj,Qualities/Degree,3,T1
poor,劣,liè,adj,Qualities/Degree,3,T1
beautiful,美,měi,adj,Qualities/Degree,2,T1
ugly,丑,chǒu,adj,Qualities/Degree,2,T1
happy,喜,xǐ,adj,Qualities/Degree,2,T1
sad,悲,bēi,adj,Qualities/Degree,2,T1
angry,怒,nù,adj,Qualities/Degree,2,T1
calm,静,jìng,adj,Qualities/Degree,2,T1
excited,兴,xīng,adj,Qualities/Degree,3,T2
bored,闷,mèn,adj,Qualities/Degree,3,T1
tired,疲,pí,adj,Qualities/Degree,2,T1
energetic,劲,jìn,adj,Qualities/Degree,3,T2
hungry,饿,è,adj,Qualities/Degree,2,T1
thirsty,渴,kě,adj,Qualities/Degree,2,T1
full,满,mǎn,adj,Qualities/Degree,2,T1
empty,空,kōng,adj,Qualities/Degree,2,T1
rich,富,fù,adj,Qualities/Degree,2,T1
poor,贫,pín,adj,Qualities/Degree,2,T1
expensive,贵,guì,adj,Qualities/Degree,2,T1
cheap,贱,jiàn,adj,Qualities/Degree,3,T1
easy,易,yì,adj,Qualities/Degree,2,T1
difficult,难,nán,adj,Qualities/Degree,2,T1
simple,简,jiǎn,adj,Qualities/Degree,2,T1
complex,复,fù,adj,Qualities/Degree,3,T1
safe,安,ān,adj,Qualities/Degree,2,T1
dangerous,危,wēi,adj,Qualities/Degree,2,T1
healthy,健,jiàn,adj,Qualities/Degree,2,T1
sick,病,bìng,adj,Qualities/Degree,2,T1
alive,活,huó,adj,Qualities/Degree,2,T3
dead,死,sǐ,adj,Qualities/Degree,2,T3
real,真,zhēn,adj,Qualities/Degree,2,T1
fake,假,jiǎ,adj,Qualities/Degree,3,T1
true,真,zhēn,adj,Qualities/Degree,1,T1
false,假,jiǎ,adj,Qualities/Degree,2,T1
right,对,duì,adj,Qualities/Degree,1,T1
wrong,错,cuò,adj,Qualities/Degree,1,T1
correct,正,zhèng,adj,Qualities/Degree,2,T1
incorrect,误,wù,adj,Qualities/Degree,3,T1
same,同,tóng,adj,Qualities/Degree,1,T1
different,异,yì,adj,Qualities/Degree,1,T1
similar,似,sì,adj,Qualities/Degree,2,T1
special,特,tè,adj,Qualities/Degree,2,T1
normal,常,cháng,adj,Qualities/Degree,2,T1
strange,奇,qí,adj,Qualities/Degree,2,T1
important,要,yào,adj,Qualities/Degree,1,T2
unimportant,次,cì,adj,Qualities/Degree,3,T2
necessary,必,bì,adj,Qualities/Degree,2,T1
unnecessary,冗,rǒng,adj,Qualities/Degree,4,T1
possible,可,kě,adj,Qualities/Degree,2,T1
impossible,不,bù,adj,Qualities/Degree,3,T3
likely,概,gài,adj,Qualities/Degree,3,T2
unlikely,罕,hǎn,adj,Qualities/Degree,4,T1
certain,确,què,adj,Qualities/Degree,2,T1
uncertain,疑,yí,adj,Qualities/Degree,3,T2
clear,清,qīng,adj,Qualities/Degree,2,T1
unclear,混,hùn,adj,Qualities/Degree,3,T1
bright,亮,liàng,adj,Qualities/Degree,2,T1
dark,暗,àn,adj,Qualities/Degree,2,T1
loud,响,xiǎng,adj,Qualities/Degree,2,T1
quiet,静,jìng,adj,Qualities/Degree,2,T1
sweet,甜,tián,adj,Qualities/Degree,2,T1
bitter,苦,kǔ,adj,Qualities/Degree,2,T1
sour,酸,suān,adj,Qualities/Degree,2,T1
salty,咸,xián,adj,Qualities/Degree,2,T1
spicy,辣,là,adj,Qualities/Degree,2,T1
fresh,鲜,xiān,adj,Qualities/Degree,2,T1
stale,陈,chén,adj,Qualities/Degree,3,T1
raw,生,shēng,adj,Qualities/Degree,3,T3
cooked,熟,shú,adj,Qualities/Degree,3,T1

# 301-400: 名词续
family,家,jiā,n,People/Society,1,T1
house,屋,wū,n,People/Society,1,T1
home,家,jiā,n,People/Society,1,T1
room,间,jiān,n,People/Society,1,T1
door,门,mén,n,People/Society,1,T1
window,窗,chuāng,n,People/Society,1,T1
wall,墙,qiáng,n,People/Society,2,T1
floor,地,dì,n,People/Society,2,T3
ceiling,顶,dǐng,n,People/Society,3,T2
roof,顶,dǐng,n,People/Society,3,T3
bed,床,chuáng,n,People/Society,1,T1
table,桌,zhuō,n,People/Society,1,T1
chair,椅,yǐ,n,People/Society,1,T1
desk,桌,zhuō,n,People/Society,2,T3
sofa,沙发,shāfā,n,People/Society,3,T4
lamp,灯,dēng,n,People/Society,2,T1
light,灯,dēng,n,People/Society,1,T3
computer,电,diàn,n,Modern/Abstract,1,T3
phone,话,huà,n,Modern/Abstract,1,T3
book,书,shū,n,Modern/Abstract,1,T1
paper,纸,zhǐ,n,Modern/Abstract,1,T1
pen,笔,bǐ,n,Modern/Abstract,1,T1
pencil,笔,bǐ,n,Modern/Abstract,2,T3
school,校,xiào,n,People/Society,1,T1
teacher,师,shī,n,People/Society,1,T1
student,生,shēng,n,People/Society,1,T3
class,班,bān,n,People/Society,1,T1
lesson,课,kè,n,People/Society,2,T1
test,试,shì,n,People/Society,2,T1
exam,考,kǎo,n,People/Society,2,T1
study,学,xué,n,People/Society,2,T3
knowledge,知,zhī,n,Modern/Abstract,2,T3
wisdom,智,zhì,n,Modern/Abstract,3,T1
intelligence,慧,huì,n,Modern/Abstract,3,T1
skill,技,jì,n,Modern/Abstract,2,T1
talent,才,cái,n,Modern/Abstract,3,T1
ability,能,néng,n,Modern/Abstract,2,T3
power,力,lì,n,Modern/Abstract,2,T1
strength,力,lì,n,Modern/Abstract,2,T3
energy,能,néng,n,Modern/Abstract,2,T3
force,力,lì,n,Modern/Abstract,3,T3
work,工,gōng,n,People/Society,1,T2
job,职,zhí,n,People/Society,1,T1
career,业,yè,n,People/Society,2,T1
business,商,shāng,n,People/Society,2,T1
company,司,sī,n,People/Society,2,T1
office,办,bàn,n,People/Society,2,T2
factory,厂,chǎng,n,People/Society,3,T1
store,店,diàn,n,People/Society,2,T1
shop,店,diàn,n,People/Society,2,T3
market,市,shì,n,People/Society,2,T1
mall,商场,shāngchǎng,n,People/Society,3,T5
hospital,医,yī,n,People/Society,2,T2
clinic,诊,zhěn,n,People/Society,3,T2
doctor,医,yī,n,People/Society,1,T2
nurse,护,hù,n,People/Society,2,T2
patient,病,bìng,n,People/Society,3,T3
medicine,药,yào,n,Body/Health,2,T1
drug,药,yào,n,Body/Health,3,T3
pill,丸,wán,n,Body/Health,3,T1
treatment,疗,liáo,n,Body/Health,3,T1
surgery,术,shù,n,Body/Health,4,T1
health,康,kāng,n,Body/Health,2,T1
disease,疾,jí,n,Body/Health,3,T1
illness,病,bìng,n,Body/Health,2,T1
pain,痛,tòng,n,Body/Health,2,T1
hurt,伤,shāng,n,Body/Health,2,T1
injury,伤,shāng,n,Body/Health,3,T3
wound,创,chuāng,n,Body/Health,3,T1
bandage,绷,bēng,n,Body/Health,4,T1
food,食,shí,n,Nature/Existence,1,T1
drink,饮,yǐn,n,Nature/Existence,2,T1
meal,饭,fàn,n,Nature/Existence,1,T1
breakfast,早,zǎo,n,Nature/Existence,2,T2
lunch,午,wǔ,n,Nature/Existence,2,T2
dinner,晚,wǎn,n,Nature/Existence,2,T2
snack,零,líng,n,Nature/Existence,3,T2
fruit,果,guǒ,n,Nature/Existence,2,T1
vegetable,菜,cài,n,Nature/Existence,2,T1
grain,谷,gǔ,n,Nature/Existence,3,T1
rice,米,mǐ,n,Nature/Existence,2,T1
bread,面,miàn,n,Nature/Existence,2,T3
meat,肉,ròu,n,Nature/Existence,1,T1
fish,鱼,yú,n,Nature/Existence,1,T1
chicken,鸡,jī,n,Nature/Existence,1,T1
beef,牛,niú,n,Nature/Existence,2,T3
pork,猪,zhū,n,Nature/Existence,2,T3
soup,汤,tāng,n,Nature/Existence,2,T1
salad,沙,shā,n,Nature/Existence,3,T3
sandwich,三,sān,n,Nature/Existence,4,T3
pizza,比,bǐ,n,Nature/Existence,4,T3
hamburger,汉,hàn,n,Nature/Existence,4,T3
coffee,咖,kā,n,Nature/Existence,3,T4
tea,茶,chá,n,Nature/Existence,2,T1
juice,汁,zhī,n,Nature/Existence,3,T1
water,水,shuǐ,n,Nature/Existence,1,T1
milk,奶,nǎi,n,Nature/Existence,1,T1
beer,啤,pí,n,Nature/Existence,3,T4
wine,酒,jiǔ,n,Nature/Existence,3,T1
alcohol,酒,jiǔ,n,Nature/Existence,3,T3

# 401-500: 继续名词
car,车,chē,n,Modern/Abstract,1,T1
bus,巴,bā,n,Modern/Abstract,2,T3
train,火,huǒ,n,Modern/Abstract,2,T3
plane,机,jī,n,Modern/Abstract,2,T3
ship,船,chuán,n,Modern/Abstract,2,T1
boat,舟,zhōu,n,Modern/Abstract,3,T1
bicycle,自,zì,n,Modern/Abstract,3,T3
motorcycle,摩,mó,n,Modern/Abstract,4,T3
road,路,lù,n,Nature/Existence,1,T1
street,街,jiē,n,Nature/Existence,2,T1
highway,公,gōng,n,Nature/Existence,3,T3
bridge,桥,qiáo,n,Nature/Existence,2,T1
tunnel,隧,suì,n,Nature/Existence,4,T1
airport,空,kōng,n,Nature/Existence,3,T2
station,站,zhàn,n,Nature/Existence,2,T1
port,港,gǎng,n,Nature/Existence,3,T1
city,市,shì,n,People/Society,1,T1
town,镇,zhèn,n,People/Society,2,T1
village,村,cūn,n,People/Society,2,T1
country,国,guó,n,People/Society,1,T1
nation,国,guó,n,People/Society,2,T3
state,州,zhōu,n,People/Society,3,T3
province,省,shěng,n,People/Society,4,T1
county,县,xiàn,n,People/Society,4,T1
capital,都,dū,n,People/Society,3,T1
metropolis,都,dū,n,People/Society,4,T3
center,中,zhōng,n,Relations/Functions,2,T1
edge,边,biān,n,Relations/Functions,2,T1
corner,角,jiǎo,n,Relations/Functions,3,T1
side,侧,cè,n,Relations/Functions,2,T1
top,顶,dǐng,n,Relations/Functions,2,T1
bottom,底,dǐ,n,Relations/Functions,2,T1
front,前,qián,n,Relations/Functions,2,T1
back,后,hòu,n,Relations/Functions,2,T1
left,左,zuǒ,n,Relations/Functions,2,T1
right,右,yòu,n,Relations/Functions,2,T1
inside,内,nèi,n,Relations/Functions,2,T1
outside,外,wài,n,Relations/Functions,2,T1
middle,中,zhōng,n,Relations/Functions,2,T3
surface,面,miàn,n,Relations/Functions,3,T1
depth,深,shēn,n,Relations/Functions,3,T1
height,高,gāo,n,Relations/Functions,3,T1
width,宽,kuān,n,Relations/Functions,3,T1
length,长,cháng,n,Relations/Functions,3,T1
size,尺,chǐ,n,Relations/Functions,3,T1
weight,重,zhòng,n,Relations/Functions,3,T1
volume,积,jī,n,Relations/Functions,4,T1
area,面,miàn,n,Relations/Functions,3,T3
distance,距,jù,n,Relations/Functions,3,T1
speed,速,sù,n,Relations/Functions,3,T1
time,时,shí,n,Nature/Existence,1,T1
second,秒,miǎo,n,Nature/Existence,4,T1
minute,分,fēn,n,Nature/Existence,3,T1
hour,时,shí,n,Nature/Existence,2,T3
day,天,tiān,n,Nature/Existence,1,T1
week,周,zhōu,n,Nature/Existence,2,T1
month,月,yuè,n,Nature/Existence,1,T1
year,年,nián,n,Nature/Existence,1,T1
decade,十,shí,n,Nature/Existence,4,T2
century,世,shì,n,Nature/Existence,4,T2
millennium,千,qiān,n,Nature/Existence,5,T2
past,昔,xī,n,Nature/Existence,3,T1
present,现,xiàn,n,Nature/Existence,3,T1
future,未,wèi,n,Nature/Existence,3,T1
dawn,晨,chén,n,Nature/Existence,3,T1
morning,早,zǎo,n,Nature/Existence,2,T1
noon,午,wǔ,n,Nature/Existence,3,T1
afternoon,下,xià,n,Nature/Existence,3,T2
evening,晚,wǎn,n,Nature/Existence,2,T1
night,夜,yè,n,Nature/Existence,1,T1
midnight,半,bàn,n,Nature/Existence,4,T2
today,今,jīn,n,Nature/Existence,2,T1
yesterday,昨,zuó,n,Nature/Existence,2,T1
tomorrow,明,míng,n,Nature/Existence,2,T1
weekend,末,mò,n,Nature/Existence,3,T2
holiday,假,jià,n,Nature/Existence,3,T3
vacation,假,jià,n,Nature/Existence,3,T3
birthday,生,shēng,n,Nature/Existence,3,T3
anniversary,周,zhōu,n,Nature/Existence,4,T3
season,季,jì,n,Nature/Existence,2,T1
spring,春,chūn,n,Nature/Existence,2,T1
summer,夏,xià,n,Nature/Existence,2,T1
autumn,秋,qiū,n,Nature/Existence,2,T1
winter,冬,dōng,n,Nature/Existence,2,T1
weather,天,tiān,n,Nature/Existence,2,T3
temperature,温,wēn,n,Nature/Existence,3,T1
climate,气,qì,n,Nature/Existence,4,T3
storm,暴,bào,n,Nature/Existence,3,T2
thunder,雷,léi,n,Nature/Existence,4,T1
lightning,电,diàn,n,Nature/Existence,4,T3
rainbow,虹,hóng,n,Nature/Existence,4,T1
fog,雾,wù,n,Nature/Existence,4,T1
dew,露,lù,n,Nature/Existence,5,T1
frost,霜,shuāng,n,Nature/Existence,5,T1
ice,冰,bīng,n,Nature/Existence,2,T1
snow,雪,xuě,n,Nature/Existence,1,T1
hail,雹,báo,n,Nature/Existence,5,T1
earthquake,震,zhèn,n,Nature/Existence,4,T1
volcano,火,huǒ,n,Nature/Existence,4,T3
tsunami,海,hǎi,n,Nature/Existence,5,T3
flood,洪,hóng,n,Nature/Existence,4,T1
drought,旱,hàn,n,Nature/Existence,5,T1

# 501-600: 继续名词和抽象概念
color,色,sè,n,Qualities/Degree,2,T1
red,红,hóng,n,Qualities/Degree,2,T1
green,绿,lǜ,n,Qualities/Degree,2,T1
blue,蓝,lán,n,Qualities/Degree,2,T1
yellow,黄,huáng,n,Qualities/Degree,2,T1
black,黑,hēi,n,Qualities/Degree,2,T1
white,白,bái,n,Qualities/Degree,2,T1
purple,紫,zǐ,n,Qualities/Degree,3,T1
orange,橙,chéng,n,Qualities/Degree,3,T1
brown,棕,zōng,n,Qualities/Degree,3,T1
gray,灰,huī,n,Qualities/Degree,3,T1
pink,粉,fěn,n,Qualities/Degree,3,T1
gold,金,jīn,n,Qualities/Degree,3,T1
silver,银,yín,n,Qualities/Degree,3,T1
bronze,铜,tóng,n,Qualities/Degree,4,T1
shape,形,xíng,n,Qualities/Degree,3,T1
circle,圆,yuán,n,Qualities/Degree,3,T1
square,方,fāng,n,Qualities/Degree,3,T1
triangle,角,jiǎo,n,Qualities/Degree,4,T3
rectangle,矩,jǔ,n,Qualities/Degree,4,T1
line,线,xiàn,n,Qualities/Degree,3,T1
point,点,diǎn,n,Relations/Functions,3,T1
dot,点,diǎn,n,Relations/Functions,3,T3
spot,点,diǎn,n,Relations/Functions,3,T3
mark,标,biāo,n,Relations/Functions,3,T1
sign,符,fú,n,Relations/Functions,3,T1
symbol,符,fú,n,Relations/Functions,4,T3
letter,字,zì,n,Modern/Abstract,2,T3
alphabet,字,zì,n,Modern/Abstract,4,T3
word,词,cí,n,Modern/Abstract,1,T1
sentence,句,jù,n,Modern/Abstract,2,T1
paragraph,段,duàn,n,Modern/Abstract,3,T1
chapter,章,zhāng,n,Modern/Abstract,3,T1
book,书,shū,n,Modern/Abstract,1,T1
page,页,yè,n,Modern/Abstract,2,T1
story,事,shì,n,Modern/Abstract,2,T3
tale,事,shì,n,Modern/Abstract,3,T3
novel,小,xiǎo,n,Modern/Abstract,3,T3
poem,诗,shī,n,Modern/Abstract,3,T1
song,歌,gē,n,Modern/Abstract,2,T1
music,乐,yuè,n,Modern/Abstract,2,T1
sound,声,shēng,n,Modern/Abstract,2,T1
noise,噪,zào,n,Modern/Abstract,3,T1
silence,寂,jì,n,Modern/Abstract,3,T1
voice,声,shēng,n,Modern/Abstract,2,T3
tone,调,diào,n,Modern/Abstract,3,T1
melody,旋,xuán,n,Modern/Abstract,4,T1
rhythm,律,lǜ,n,Modern/Abstract,4,T1
beat,拍,pāi,n,Modern/Abstract,3,T1
instrument,器,qì,n,Modern/Abstract,3,T1
piano,钢,gāng,n,Modern/Abstract,4,T3
guitar,吉,jí,n,Modern/Abstract,4,T4
violin,小,xiǎo,n,Modern/Abstract,5,T3
drum,鼓,gǔ,n,Modern/Abstract,4,T1
